#Number,Price,Rarity Rank
3145,2.8,4940
4786,2.8,3913
4859,2.8,3752
4973,2.8,3683
375,2.8,3552
2726,2.95,4926
2123,3,2469
3339,3,4651
4312,3,3939
3397,3,3629
539,3,3937
1689,3,2580
1148,3,4350
1386,3.05,4083
1322,3.1,3304
3310,3.2,4889
386,3.2,3088
4529,3.2,3298
2087,3.2,2057
1117,3.2,3172
887,3.2,2651
1476,3.2,2963
2343,3.2,4186
4063,3.22,3922
4713,3.24,3624
1924,3.25,2291
2137,3.25,2206
999,3.25,2029
2300,3.3,2341
4914,3.35,3451
287,3.35,2940
4877,3.35,3550
3475,3.4,4677
4801,3.45,4954
1220,3.45,1096
317,3.48,3228
4154,3.48,1450
3753,3.48,1050
637,3.49,2465
3483,3.49,4948
2999,3.49,4786
26,3.49,3313
2592,3.49,2650
1066,3.5,1130
4957,3.5,3562
518,3.5,2619
1312,3.5,3942
626,3.5,1542
170,3.5,1858
741,3.5,2467
3371,3.5,4543
2166,3.5,1805
446,3.5,2363
535,3.5,1390
1020,3.5,1757
2981,3.5,4911
3282,3.5,4856
1816,3.6,2509
1170,3.65,2059
1338,3.68,1506
1745,3.69,423
4659,3.69,784
3018,3.7,4579
819,3.75,1969
2387,3.75,4282
1726,3.78,2370
3716,3.8,432
2260,3.8,4101
1626,3.8,2117
925,3.85,1465
2793,3.85,661
2532,3.89,4340
1415,3.89,1950
1941,3.9,1078
4541,3.95,223
421,3.95,2028
3016,3.99,4734
3446,3.99,4298
661,3.99,3673
178,3.99,2588
2467,3.99,1075
2805,4,4502
1218,4,2462
2701,4,1073
1737,4,2319
3138,4,4560
1328,4,2766
4389,4,3452
41,4,2492
1258,4,1335
439,4,4196
4250,4,1148
566,4,1340
2715,4,1048
3799,4.2,174
1564,4.2,2112
2739,4.2,2755
1582,4.2,3020
3531,4.2,154
2344,4.2,4078
4633,4.2069,675
3217,4.22,3854
2894,4.27,4557
2904,4.3,4121
3455,4.4,4331
3122,4.4,4996
3773,4.4,287
4255,4.4,542
1455,4.44,1892
397,4.48,562
2439,4.49,1941
2390,4.49,4238
2953,4.49,4199
1875,4.49,2343
3112,4.49,4636
4997,4.49,3852
2744,4.49,2524
180,4.49,4339
1194,4.49,3112
706,4.49,2459
476,4.5,682
4665,4.5,830
4130,4.5,3265
4070,4.5,3395
1628,4.6,604
4230,4.6,150
4301,4.69,1777
2578,4.69,3282
3372,4.8,4920
3681,4.9,1317
928,4.95,2495
3579,4.95,1939
351,4.96,2664
3262,4.97,4925
1605,4.98,3705
1106,4.99,2779
395,4.99,4352
2497,4.99,2390
4258,5,911
1814,5,1780
3654,5,3412
4831,5,3720
4363,5,1759
2410,5,1119
2215,5,4160
2852,5,4724
729,5,4226
783,5,969
4138,5,1411
1193,5,1635
76,5.1,2033
2070,5.2,1700
3563,5.34,3296
1276,5.5,1570
1813,5.5,1899
3739,5.6,341
4483,5.6,1412
4576,5.69,590
4098,5.89,201
4425,5.89,202
1842,5.9,543
4017,5.9,426
2149,5.9,2769
815,6,490
4619,6,2480
4262,6,190
4616,6,43
2136,6,2951
2065,6.21,1033
169,6.22,3823
2113,6.42,2329
3873,6.49,1363
114,6.59,750
666,6.66,3083
4610,6.88,105
4737,6.99,4951
4346,6.99,2304
3768,7,218
411,7.49,1398
369,7.5,718
4147,7.99,3378
3884,8,144
4466,8,146
1669,8.69,848
3705,8.88,364
4365,9,940
4635,9.9,936
2278,10,4319
3678,10,620
4086,10.123,123
3746,10.5,256
4055,10.69,21
4158,13.99,67
3682,15,47
4283,20,1018
3769,35,34
Robolloon,50,6
Balloonpunk,60,2
2661,69,3250
Balloonwise,75,3
