#Number,Rarity Rank,Rarity Percent
Ballooni,1,0.00000000000000000050%
Balloonpunk,2,0.00000000000000000050%
Balloonwise,3,0.00000000000000000050%
Ballusa,4,0.00000000000000000050%
Bladiator,5,0.00000000000000000050%
Robolloon,6,0.00000000000000000050%
4304,7,0.00000000057291484036%
4649,8,0.00000000107989610248%
3641,9,0.00000000115644384810%
3649,10,0.00000000127426759278%
4546,11,0.00000000133240011154%
3835,12,0.00000000136362655767%
4271,13,0.00000000159258451738%
3800,14,0.00000000163681969651%
4280,15,0.00000000172792967318%
3574,16,0.00000000188437656895%
3805,17,0.00000000196672661833%
3586,18,0.00000000198079801700%
3568,19,0.00000000204305079831%
3849,20,0.00000000220939060193%
4055,21,0.00000000225700140928%
3985,22,0.00000000226446845726%
4105,23,0.00000000228312079700%
3993,24,0.00000000230999830364%
3526,25,0.00000000235008459510%
4309,26,0.00000000242463171684%
3846,27,0.00000000245097479484%
3812,28,0.00000000246919812298%
3816,29,0.00000000254439909115%
3922,30,0.00000000260618483998%
3628,31,0.00000000278618535553%
4579,32,0.00000000280034068664%
3510,33,0.00000000281247977519%
3769,34,0.00000000285862290076%
4132,35,0.00000000287743770770%
3956,36,0.00000000292842304635%
4395,37,0.00000000295179034087%
3852,38,0.00000000296341818573%
3917,39,0.00000000297467008802%
4085,40,0.00000000299347620397%
4392,41,0.00000000300446946533%
3947,42,0.00000000301509609773%
4616,43,0.00000000307614666902%
4090,44,0.00000000308893266739%
4464,45,0.00000000311372310712%
4563,46,0.00000000314988862916%
3682,47,0.00000000319245469171%
4516,48,0.00000000321068681056%
4358,49,0.00000000326011314674%
4219,50,0.00000000326190631523%
4697,51,0.00000000327091643346%
4101,52,0.00000000330198752703%
3845,53,0.00000000330976933988%
3797,54,0.00000000332414667307%
3876,55,0.00000000342085516186%
3880,56,0.00000000342591088354%
3976,57,0.00000000343658992529%
3945,58,0.00000000345102067335%
4188,59,0.00000000346871625155%
3742,60,0.00000000349781417401%
4653,61,0.00000000353568550964%
4027,62,0.00000000355947435977%
4463,63,0.00000000356223129068%
4507,64,0.00000000360762255923%
4658,65,0.00000000361881049166%
3618,66,0.00000000370285459852%
4158,67,0.00000000370321603053%
3905,68,0.00000000375353334361%
3935,69,0.00000000375580339899%
3801,70,0.00000000377315457240%
4499,71,0.00000000383375741730%
3540,72,0.00000000387371736551%
2503,73,0.00000000396242187061%
4006,74,0.00000000405776012917%
4359,75,0.00000000409317943542%
4558,76,0.00000000413653716124%
435,77,0.00000000413852950931%
4519,78,0.00000000414427721242%
3755,79,0.00000000415308482195%
4328,80,0.00000000415462186296%
3725,81,0.00000000417066290674%
4373,82,0.00000000425549736708%
3938,83,0.00000000426695121555%
3995,84,0.00000000432072557199%
4327,85,0.00000000438208317601%
3508,86,0.00000000443854038596%
4031,87,0.00000000449632344107%
3763,88,0.00000000451796091242%
3853,89,0.00000000455212146028%
3541,90,0.00000000456686814364%
3788,91,0.00000000460211079365%
4423,92,0.00000000460590642030%
3972,93,0.00000000461795433775%
3722,94,0.00000000463573190128%
3834,95,0.00000000465489937252%
4512,96,0.00000000466545920135%
3527,97,0.00000000472272489723%
3505,98,0.00000000476226541081%
3518,99,0.00000000482470770203%
3744,100,0.00000000485622337123%
3859,101,0.00000000485999666056%
4455,102,0.00000000487899786756%
3733,103,0.00000000490401836945%
4457,104,0.00000000491690528657%
4610,105,0.00000000496492193976%
4530,106,0.00000000496500584279%
4456,107,0.00000000497349598925%
4476,108,0.00000000500483032879%
4428,109,0.00000000503356796987%
4049,110,0.00000000507569993509%
3863,111,0.00000000510599006806%
1303,112,0.00000000518020967257%
4380,113,0.00000000519870428054%
4672,114,0.00000000525504938518%
4628,115,0.00000000525765238902%
4193,116,0.00000000531025401811%
3595,117,0.00000000532570738523%
3929,118,0.00000000534778488344%
4575,119,0.00000000535773395165%
4674,120,0.00000000535978062421%
4041,121,0.00000000536854472506%
4632,122,0.00000000537390243017%
4086,123,0.00000000541376056023%
4364,124,0.00000000542349714005%
4580,125,0.00000000550144093512%
3790,126,0.00000000551758403869%
3662,127,0.00000000556810886949%
749,128,0.00000000561675910450%
4222,129,0.00000000566941451282%
4024,130,0.00000000569227647910%
3785,131,0.00000000572224776634%
4645,132,0.00000000574084819022%
3515,133,0.00000000577415074554%
3607,134,0.00000000582669210272%
4011,135,0.00000000586384184771%
3789,136,0.00000000591509495808%
4133,137,0.00000000592315054696%
