#Number,Rarity Rank,Rarity Percent
1563,1,0.00000003406868766153%
3504,2,0.00000004965548189014%
2715,3,0.00000006210882227192%
1277,4,0.00000006444165575635%
2049,5,0.00000007359856167338%
50,6,0.00000007570338362346%
2560,7,0.00000009483024153203%
2072,8,0.00000010949810186882%
4990,9,0.00000011787451473764%
4652,10,0.00000012646926808833%
4655,11,0.00000013878756548440%
455,12,0.00000013986772982838%
2023,13,0.00000016173905633206%
4308,14,0.00000017329758473488%
702,15,0.00000017576588160163%
3496,16,0.00000018051660371642%
4446,17,0.00000018445177145949%
2555,18,0.00000019203987394044%
2444,19,0.00000019238401190268%
339,20,0.00000019503823356374%
1321,21,0.00000019632994829852%
2247,22,0.00000020317938172633%
4827,23,0.00000021154609359465%
3292,24,0.00000022244966545744%
1294,25,0.00000022944687847807%
918,26,0.00000023405928422488%
2353,27,0.00000023484812028175%
3517,28,0.00000024275632562062%
4389,29,0.00000024416984608444%
3588,30,0.00000024493889307986%
4510,31,0.00000024654594809996%
2719,32,0.00000025196202831777%
264,33,0.00000025667896395925%
2136,34,0.00000026216755672823%
1427,35,0.00000026301935126388%
3451,36,0.00000026943247699941%
2619,37,0.00000027041653129675%
2176,38,0.00000029408981382098%
4896,39,0.00000029536344541323%
432,40,0.00000030067735473442%
4851,41,0.00000030147004773967%
4750,42,0.00000031125316803058%
1025,43,0.00000031301366584653%
1764,44,0.00000031520644572574%
2806,45,0.00000031753966355785%
792,46,0.00000031920412689851%
384,47,0.00000033151782823183%
1524,48,0.00000033206808513791%
2565,49,0.00000033725459427934%
2867,50,0.00000034716759865830%
805,51,0.00000034995190344387%
3521,52,0.00000035280202456913%
1522,53,0.00000035565492579022%
3421,54,0.00000035568575501450%
689,55,0.00000035912274794705%
1723,56,0.00000037620603819691%
568,57,0.00000037700162660038%
2296,58,0.00000037719441157298%
964,59,0.00000038215940127423%
4216,60,0.00000039019321505656%
2292,61,0.00000039382100764518%
1744,62,0.00000039386858053512%
126,63,0.00000040246400050929%
2610,64,0.00000040482474646693%
3989,65,0.00000040972567206250%
1015,66,0.00000041400838334166%
4526,67,0.00000041739313929773%
2597,68,0.00000042228360588366%
4355,69,0.00000043017934340417%
275,70,0.00000043021541167125%
3804,71,0.00000043714566835059%
2324,72,0.00000043774038659201%
709,73,0.00000043873490569986%
1816,74,0.00000047124165362372%
1077,75,0.00000047521793055726%
128,76,0.00000047557903249184%
157,77,0.00000047566258119449%
4586,78,0.00000048521232642979%
1582,79,0.00000048536642697794%
1922,80,0.00000048536642697794%
488,81,0.00000048695500895630%
189,82,0.00000048700626072408%
680,83,0.00000048792665247923%
2056,84,0.00000048964766577036%
723,85,0.00000049106265007185%
2997,86,0.00000049685747498699%
2261,87,0.00000049707867044021%
3744,88,0.00000049744714690903%
4755,89,0.00000049857760700435%
2825,90,0.00000050487844655934%
1139,91,0.00000050646701188106%
4590,92,0.00000050968898197838%
1417,93,0.00000051034668816621%
4644,94,0.00000051371923377819%
4037,95,0.00000052707504772088%
3662,96,0.00000052781576113275%
2969,97,0.00000053184948910365%
4137,98,0.00000053368942522536%
2922,99,0.00000053685231358142%
1770,100,0.00000053700603216831%
1287,101,0.00000054111253065789%
3940,102,0.00000054323985739256%
3937,103,0.00000055280801160059%
2164,104,0.00000055344552581446%
2282,105,0.00000055491889977088%
89,106,0.00000055794765482977%
4724,107,0.00000056482695672114%
3953,108,0.00000056975586188706%
4110,109,0.00000057038406658191%
2349,110,0.00000058183701980698%
288,111,0.00000058342039132229%
1322,112,0.00000058354525337889%
1276,113,0.00000058458391782110%
2891,114,0.00000058655713415829%
4883,115,0.00000058964732924472%
2604,116,0.00000059486587090115%
3941,117,0.00000060081431028132%
951,118,0.00000060169162240222%
3863,119,0.00000060371341771900%
2098,120,0.00000060569722988915%
1182,121,0.00000060733131757060%
4905,122,0.00000061087242120975%
4645,123,0.00000061103246204530%
3131,124,0.00000061391275591432%
525,125,0.00000061995168445437%
3182,126,0.00000062797574412633%
746,127,0.00000063111475886420%
624,128,0.00000063227603251434%
4301,129,0.00000063871386499157%
348,130,0.00000064299436824088%
3856,131,0.00000064357127665419%
2074,132,0.00000064781058690651%
4917,133,0.00000064873250623281%
786,134,0.00000065207225990294%
1069,135,0.00000065343768936991%
3302,136,0.00000066059592418659%
1577,137,0.00000066865979622139%
1828,138,0.00000066989123931607%
848,139,0.00000067200883194062%
1189,140,0.00000067675506111805%
1747,141,0.00000068069925447627%
2224,142,0.00000069157311038575%
3548,143,0.00000069257978391107%
2492,144,0.00000069429334246125%
463,145,0.00000069569478724254%
1275,146,0.00000069813254922373%
4017,147,0.00000070319865970308%
1218,148,0.00000070725317078309%
3231,149,0.00000070784928910675%
1741,150,0.00000071333444666832%
800,151,0.00000072172448100507%
4295,152,0.00000072225887267136%
4097,153,0.00000072288941008064%
119,154,0.00000072294448663033%
4562,155,0.00000072801294124131%
715,156,0.00000072821919118164%
4642,157,0.00000072924474673558%
846,158,0.00000073112473945639%
1932,159,0.00000073180923984981%
1769,160,0.00000073418040837892%
4548,161,0.00000073418980313636%
4493,162,0.00000073926167027129%
4309,163,0.00000073928515272947%
2523,164,0.00000073960081321809%
1659,165,0.00000074136101490489%
2580,166,0.00000074480919540912%
4701,167,0.00000074581415101594%
2251,168,0.00000074584787768465%
1813,169,0.00000074646806706414%
2626,170,0.00000074663844637405%
2868,171,0.00000074835528647392%
2455,172,0.00000075494283290698%
1726,173,0.00000075650471430342%
1897,174,0.00000075678599923174%
1513,175,0.00000076052510970691%
386,176,0.00000076886927540432%
1882,177,0.00000076976607243445%
2281,178,0.00000077098469367119%
3232,179,0.00000077399091659123%
1306,180,0.00000077495932907089%
704,181,0.00000077511265678023%
90,182,0.00000077613047850184%
733,183,0.00000077927501941000%
1623,184,0.00000078386349445773%
3643,185,0.00000078789202545494%
3718,186,0.00000079162379086365%
2167,187,0.00000079417415153491%
4735,188,0.00000079436579495245%
3436,189,0.00000079466392302898%
2274,190,0.00000079495227886039%
5009,191,0.00000079571564231148%
707,192,0.00000079751636592531%
521,193,0.00000079827255038751%
3765,194,0.00000080165628204893%
2469,195,0.00000080223972410255%
1573,196,0.00000080763114867269%
4406,197,0.00000080840225502698%
2153,198,0.00000080963018950039%
377,199,0.00000081097876145898%
2410,200,0.00000081457947466422%
170,201,0.00000082393506660130%
1150,202,0.00000082821233364665%
3862,203,0.00000082888864533024%
2378,204,0.00000083291588393334%
